arm,duration_seconds,eligible_rows,filtered_top_k_accuracy,latency_p50_us,latency_p95_us,median_overfetch_amplification,query_count,returns_k,run,selectivity
alopex-sql-hnsw-postfilter,19.313552838997566,10,0.1335,95997.643,120003.679,100.0,200,False,1,0.001
alopex-sql-hnsw-postfilter,17.647513507996337,10,0.1335,85789.4215,113074.699,100.0,200,False,2,0.001
alopex-sql-hnsw-postfilter,19.57619604699721,10,0.1335,95704.1655,129305.661,100.0,200,False,3,0.001
sqlite-hnswlib,3.499399332999019,10,0.1335,16767.4255,25712.432,100.0,200,False,1,0.001
sqlite-hnswlib,3.676659838994965,10,0.1335,17849.578999999998,26246.663,100.0,200,False,2,0.001
sqlite-hnswlib,3.4578924300003564,10,0.1335,17064.362999999998,23365.981,100.0,200,False,3,0.001
filtered-exact,0.4401768429961521,10,1.0,1963.437,3885.635,1.0,200,True,1,0.001
filtered-exact,0.44346348600811325,10,1.0,2002.191,3539.13,1.0,200,True,2,0.001
filtered-exact,0.5224779459967976,10,1.0,2373.621,4028.536,1.0,200,True,3,0.001
alopex-sql-hnsw-postfilter,18.400151773996186,100,0.9384999999999999,91406.70449999999,118139.289,100.0,200,False,1,0.01
alopex-sql-hnsw-postfilter,16.033221171994228,100,0.9384999999999999,78801.9515,106984.254,100.0,200,False,2,0.01
alopex-sql-hnsw-postfilter,17.283384592010407,100,0.9384999999999999,86448.5825,108464.085,100.0,200,False,3,0.01
sqlite-hnswlib,3.3449761659867363,100,0.9390000000000001,16252.6395,24493.539,100.0,200,False,1,0.01
sqlite-hnswlib,3.7796317559987074,100,0.9390000000000001,18411.4755,26075.787,100.0,200,False,2,0.01
sqlite-hnswlib,3.427971876008087,100,0.9390000000000001,17226.0135,24245.691,100.0,200,False,3,0.01
filtered-exact,0.6622518460062565,100,1.0,2741.5375000000004,6264.893,10.0,200,True,1,0.01
filtered-exact,0.6254719830030808,100,1.0,2726.545,5499.871,10.0,200,True,2,0.01
filtered-exact,0.6346399839967489,100,1.0,2680.7125,5640.193,10.0,200,True,3,0.01
alopex-sql-hnsw-postfilter,13.519422860001214,500,0.9990000000000001,62492.745500000005,107003.551,32.0,200,True,1,0.05
alopex-sql-hnsw-postfilter,14.187216134989285,500,0.9990000000000001,69362.889,93811.588,32.0,200,True,2,0.05
alopex-sql-hnsw-postfilter,11.620299054004136,500,0.9990000000000001,57433.8885,72488.671,32.0,200,True,3,0.05
sqlite-hnswlib,1.6049771620018873,500,0.998,7859.959000000001,12098.932,32.0,200,True,1,0.05
sqlite-hnswlib,1.7120967900118558,500,0.998,8095.7675,14336.534,32.0,200,True,2,0.05
sqlite-hnswlib,1.7674734070023987,500,0.998,8186.994,15249.032,32.0,200,True,3,0.05
filtered-exact,1.0192375900078332,500,1.0,4560.219,8825.752,50.0,200,True,1,0.05
filtered-exact,0.9073600200063083,500,1.0,4100.9715,7525.28,50.0,200,True,2,0.05
filtered-exact,0.9089104289887473,500,1.0,4076.043,7277.499,50.0,200,True,3,0.05
alopex-sql-hnsw-postfilter,9.603007890997105,1971,0.9975,47893.055,69145.734,8.0,200,True,1,0.2
alopex-sql-hnsw-postfilter,10.531515385999228,1971,0.9975,53042.345,63777.239,8.0,200,True,2,0.2
alopex-sql-hnsw-postfilter,11.030746250995435,1971,0.9975,54174.702000000005,67589.894,8.0,200,True,3,0.2
sqlite-hnswlib,1.9988956740126014,1971,0.997,9550.429,13283.187,8.0,200,True,1,0.2
sqlite-hnswlib,1.6557939249905758,1971,0.997,7832.714,13671.429,8.0,200,True,2,0.2
sqlite-hnswlib,1.8503747520007892,1971,0.997,8959.486499999999,12841.813,8.0,200,True,3,0.2
filtered-exact,1.8945397170027718,1971,1.0,9269.374,13025.256,197.1,200,True,1,0.2
filtered-exact,1.7283772530063288,1971,1.0,8057.416,13024.057,197.1,200,True,2,0.2
filtered-exact,2.227652848989237,1971,1.0,10804.1985,15433.976,197.1,200,True,3,0.2
alopex-sql-hnsw-postfilter,13.391571633008425,9171,1.0,66418.428,77937.737,1.0,200,True,1,1.0
alopex-sql-hnsw-postfilter,6.500861067994265,9171,1.0,28328.711000000003,62947.221,1.0,200,True,2,1.0
alopex-sql-hnsw-postfilter,12.211012682004366,9171,1.0,63765.6615,76739.391,1.0,200,True,3,1.0
sqlite-hnswlib,6.232220544989104,9171,1.0,30589.8125,37651.262,1.0,200,True,1,1.0
sqlite-hnswlib,6.482212853996316,9171,1.0,31250.001,42444.869,1.0,200,True,2,1.0
sqlite-hnswlib,5.1087902470026165,9171,1.0,27577.186999999998,33044.549,1.0,200,True,3,1.0
filtered-exact,19.091300629006582,9171,1.0,79322.15,201637.586,917.1,200,True,1,1.0
filtered-exact,18.67747602998861,9171,1.0,78195.2285,181530.412,917.1,200,True,2,1.0
filtered-exact,19.028847424007836,9171,1.0,83712.3175,179150.544,917.1,200,True,3,1.0
